position,title,artist,year,month,day
5,TRIPPIN ON SUNSHINE,PIZZAMAN,1994,8,28
6,THE QUEEN'S ANTHEM,LOLEATTA HOLLOWAY,1994,8,28
7,SUMMER BUNNIES,R KELLY,1994,8,28
8,ALTERED STATES EP,BLACK SCIENCE ORCHESTRA,1994,8,28
9,WALKIN' ON,SHEER BRONZE,1994,8,28
10,MAGIC,SASHA WITH SAM MOLLISON,1994,8,28
11,EIGHTEEN STRINGS,TINMAN,1994,8,28
12,CONGO,BOSS,1994,8,28
13,BRING IT BACK 2 LUV,PROJECT FEATURING GERIDEAU,1994,8,28
14,YOU CAN'T TURN AROUND,BOTTOM $,1994,8,28
15,HOT HOT HOT,ARROW,1994,8,28
16,EVERYTHING IS GONNA BE ALRIGHT,SOUNDS OF BLACKNESS,1994,8,28
17,BOP GUN (ONE NATION),ICE CUBE FEAT GEORGE CLINTON,1994,8,28
18,DRE DAY,DR DRE,1994,8,28
19,THE RIGHT KINDA LOVER,PATTI LABELLE,1994,8,28
20,AND I'M TELLING YOU I'M NOT GOING,DONNA GILES,1994,8,28
21,TWO FATT GUITARS,DIRECKT,1994,8,28
22,DO YOU WANNA GET FUNKY,C&C MUSIC FACTORY,1994,8,28
23,HEART OF STONE,DAVE STEWART,1994,8,28
24,THE SINGLE,RISE,1994,8,28
25,TRIPWIRE,LIONROCK,1994,8,28
26,THE FEELING,TIN TIN OUT FEAT SWEET TEE,1994,8,28
27,THE DIGIFX EP,DIGIFX,1994,8,28
28,GIRLS + BOYS,HED BOYS,1994,8,28
29,RUFF REVIVAL,RUN TINGS,1994,8,28
30,MIDNIGHT AT THE OASIS,BRAND NEW HEAVIES,1994,8,28
31,EVERYBODY'S GOT SUMMER,ATLANTIC STARR,1994,8,28
32,SUGAR SUGAR,DUKE BAYSEE,1994,8,28
33,NEVER LET GO,HYPER GO-GO,1994,8,28
34,GAL WINE,CHAKA DEMUS & PLIERS,1994,8,28
35,DOGGY DOGG WORLD,SNOOP DOGGY DOGG,1994,8,28
